comment date,comment
2020-05-03 15:26:40,@arthurcorreia22
2020-05-01 08:27:19,🔥🔥🔥
2020-04-09 14:18:18,@phrandreoli tactical precision
2020-03-29 15:13:32,I’m sorry but the last bond watch was gorgeous and $3000 less
2020-03-23 13:03:00,@nafiise
2020-03-15 20:08:31,🔥🔥
2020-03-04 09:56:27,There is attitude 💪💪
2020-03-03 13:47:02,@mrstemp21 🙌
2020-03-03 05:33:30,👈👈👈
2020-03-02 12:51:37,💚💚
2020-03-02 11:27:00,Wow 👏👏👏👏👏👏👏👏
2020-03-02 09:24:26,"Yasemin hanım, 🔥. You are always super! 🌹"
2020-03-02 09:16:46,Dm me
2020-03-02 08:31:44,😍😍
2020-03-02 07:51:39,More expensive than the rifle.
2020-03-02 02:49:48,The best Bond ever.. for him I got ny first @omega watch..
2020-03-02 02:19:32,"Damn I want this, I’ll be rocking my oooooooold seamaster until I make it a little bit in the world😂"
2020-03-02 00:24:58,"If only he genuinely new how to run it. Great actor, best Bond ever, but he’s no Keanu Reeves “who trains and can shoot in real life” or John Wick."
2020-03-01 22:26:53,It be a dope cod skin
2020-03-01 21:54:04,🔥🔥🔥🔥🔥🔥🔥
2020-03-01 19:59:18,Steht die waffe auch zum verkauf ?
2020-03-01 18:52:28,My ass thought this was something from mw
2020-03-01 18:23:36,👏
2020-03-01 17:56:10,🔥
2020-03-01 16:49:43,Very very very expensive
2020-03-01 16:25:46,😎🤙🏼
2020-03-01 16:14:54,Can’t wait for this one!!! 🔥
2020-03-01 16:04:55,Cool  post
2020-03-01 15:05:06,@tylergill92 do they help you do dips tho? this is the next question
2020-03-01 14:40:58,Fucking ACE! 👌
2020-03-01 14:29:01,So much want 😎
2020-03-01 14:13:06,"Часы видно, прям капец!)"
2020-03-01 12:57:35,"Wake up, time to die #speedmaster"
2020-03-01 12:53:00,More Guns please
2020-03-01 12:45:24,"First impression, looks like it’s from clancy’s..."
2020-03-01 12:32:28,@horological_dicktionary I think this could be part of the master class
2020-03-01 12:04:56,Il ne se sert pas de la visée holographique ??? Dommage.
2020-03-01 10:30:35,Can't wait to see it live in action🔥🔥🔥
2020-03-01 10:20:34,Изгадили такой фильм🤬🤦🏻‍♂️
2020-03-01 10:16:41,Why is he holding a gun by the magazine? 🤦🏻‍♂️
2020-03-01 10:13:39,Nothing like vintage style 👌
2020-03-01 09:54:02,Da quando lo usa Bond i prezzi sono da Agente Segreto...
2020-03-01 09:52:37,"O,07"
2020-03-01 09:41:07,@walker.rog 😍
2020-03-01 08:48:58,👑
2020-03-01 08:46:45,Military uses GShocks. Fuckin poser
2020-03-01 07:55:54,This will be the last Bond movies I ever watch. Not watching a female 007.
2020-03-01 07:55:07,Love it ! 🤩🤩 but I even prefer the speedmaster moonwatch 😍😍 @kfrinedofeu 😅
2020-03-01 06:15:54,Tactical precision? I'm pretty sure a Casio can tell the time as precisely 😂
2020-03-01 06:14:11,"Can you pls make a 39mm version of your seamaster 300m? I beg you, this would be the best diver under 10k imo"
2020-03-01 06:12:47,Pumped for this release. 👌🏼
2020-03-01 04:59:21,Best of✊🏻
2020-03-01 04:40:58,@savagiee
2020-03-01 04:38:39,Every agent needs his/her perfect instrument.
2020-03-01 04:14:21,@blackweiting
2020-03-01 04:03:23,@ayan_r97
2020-03-01 03:00:41,Daniel Craig is a little bitch
2020-03-01 02:46:50,🔥✔️🇵🇹
2020-03-01 02:37:37,@stilltrillphill look at ittt
2020-03-01 02:28:37,"@caldwellclay The watch is nice, the gun is cool; but I want Daniel 😍😅😂"
2020-03-01 02:23:41,🤘
2020-03-01 02:15:46,toughest watch ever
2020-03-01 01:21:28,Is there a mid sized version? 🤔
2020-03-01 01:01:32,👍👍👍
2020-03-01 00:16:25,"If I was Bond, I’d find it very helpful to know what day it was."
2020-03-01 00:12:09,"E o rifle, que modelo?"
2020-03-01 00:07:42,@matbench
2020-03-01 00:07:40,This might like you @sean_fulton_dc2
2020-03-01 00:06:54,💥💥💥💥🔫
2020-02-29 23:55:58,🔥🔥🔥
2020-02-29 23:34:44,🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥
2020-02-29 23:34:33,@glmartin72
2020-02-29 23:29:01,Wonderful watch
2020-02-29 23:20:23,@mohammedaj92  دوس علصورة
2020-02-29 23:10:30,"As much as I like Bond, I don’t know if I want to spend $8k on an Omega."
2020-02-29 23:08:55,@kis83 everything about this photo is me Bella!
2020-02-29 22:30:24,Este hombre 😍
2020-02-29 22:22:30,@zumbo_32 🔥
2020-02-29 22:11:38,One day I’ll buy the Casino royale watch 🙏 👍❤️
2020-02-29 22:10:07,👍🏻👏🏻💯
2020-02-29 21:50:34,"Très jolie montre.... Mais cet homme est un ""Daniel craig"" mais en aucun cas un James bond...."
2020-02-29 21:43:50,@antonio_vrselja pa koliko može bit lijep sat.
2020-02-29 21:43:24,Off set irons? What a joke
2020-02-29 21:33:56,Go commander bond💪😎
2020-02-29 21:25:56,I can see his OMEGA Seamaster Diver 300mm 😍
2020-02-29 21:24:23,🔥
2020-02-29 21:19:17,@lmsilva77
2020-02-29 21:17:13,Sinn
2020-02-29 21:11:45,@nickvocht
2020-02-29 21:00:36,👊...
2020-02-29 20:58:58,Will he dive 300 meters deep in the new film?
2020-02-29 20:56:46,@hamishbuckley
2020-02-29 20:55:17,@i.m_leszczynski
2020-02-29 20:43:53,@frankmfisher
2020-02-29 20:33:49,Advertising a $9200 watch like we can afford it
2020-02-29 20:28:14,@omega what is the reference number?
2020-02-29 20:26:04,Is his head photoshopped? It doesn’t look right.
2020-02-29 20:24:17,"$9,200 for fake patina?! 🤦🏻‍♂️🙄"
2020-02-29 20:15:24,"Vos podrías hacerle publicidad a Mont Blanc, amor jaajajajaja @sanboselli 🤣🤣"
2020-02-29 20:11:05,@jak_dip @tommaso_caverni guardate che bella questa foto
2020-02-29 20:00:02,Looks like modern warfare
2020-02-29 19:58:50,Silahlara ve savaşa HAYIR!
2020-02-29 19:58:31,Cant wait for the movie ...
2020-02-29 19:56:31,Isn’t he against guns?
2020-02-29 19:56:28,Overpriced ...
2020-02-29 19:56:25,"Saat reklamında ""silah"" görmek istemiyorum!"
2020-02-29 19:46:35,Yaaaaaah offset rear sight with A frame inline front sight. So effective.
2020-02-29 19:46:12,🔥🔥
2020-02-29 19:40:04,@omega is this strap available for purchase separately
2020-02-29 19:37:07,Mega 🔥🔥🔥
2020-02-29 19:32:02,👍
2020-02-29 19:30:57,Bravo. See.  Yuo
2020-02-29 19:27:05,YES!
2020-02-29 19:19:51,"No violence, Omega!"
2020-02-29 19:14:36,Awesome
2020-02-29 19:12:27,@justinsabarre you’re going to need that pressure release valve during your spec ops assignments.
2020-02-29 19:10:25,Derfor er omega verdens fedeste ur😜 @cykelkim123valentin
2020-02-29 19:10:12,James !!!!!!
2020-02-29 19:08:48,He’s so HOT 🤤
2020-02-29 19:03:10,@monicaleecarr
2020-02-29 18:57:04,@_naiklas10 puuuuttana che spettacolo❤️
2020-02-29 18:54:33,❤️💯💯💯💯 🎭⚔️🗡🔝
2020-02-29 18:54:22,Impressive
2020-02-29 18:52:51,👌👌👌
2020-02-29 18:46:00,So can I use it when shooting a rifle? Like with the fear of shock and all that...
2020-02-29 18:43:13,@npealcashmere nice sweater in that pic too!
2020-02-29 18:38:24,We would say the same 😉
2020-02-29 18:37:03,@rich_raffetto
2020-02-29 18:36:41,@zachb151
2020-02-29 18:32:53,Who's the actor?
2020-02-29 18:31:19,"Wrong its always been a Rolex, until you paid to be it🤦‍♂️🤦‍♂️🤦‍♂️"
2020-02-29 18:28:14,@ashleyxkovacs need
2020-02-29 18:26:57,@sydmeehan get on it!
2020-02-29 18:24:59,@hoey_janson
2020-02-29 18:24:30,"Я не гомофоб,но как-то не выглядит он мужественно.У него же губы 👄 некрашены"
2020-02-29 18:23:16,@clarkandcade
2020-02-29 18:15:03,@hhowarth33 @dbenway
2020-02-29 18:14:49,Again I love it and would love to have one... however I sadly can’t  drop 10K on a wristwatch. Additionally that rifle looks fantastic 👌🏻
2020-02-29 18:13:06,As precise as a swiss timepiece
2020-02-29 18:08:20,In love with the watch 🤤
2020-02-29 18:04:47,@scott_redding
2020-02-29 18:03:30,"""I'll let my watch out of my sleeve, so i can see the time while i help maintain global hegemony."""
2020-02-29 18:00:36,Must be out yo damn mind if you think I'm paying that much for a watch
2020-02-29 17:56:08,😍😍
2020-02-29 17:54:49,😍😍😍
2020-02-29 17:49:01,The Seamaster 300M 007 Edition; a fantastic retro-inspired military watch. I understand why James Bond chose it. (looking forward to discover the watch hidden features).
2020-02-29 17:48:18,@zacharyzac tomorrow never dies for the fries.
2020-02-29 17:47:40,❤️🙏
2020-02-29 17:47:13,@edgar_gatto
2020-02-29 17:46:05,@shaqneill
2020-02-29 17:44:56,Ahhh yes the perfect omega watch for when you need to shoot up the bad guys.
2020-02-29 17:44:27,@danielcamachotrejos
2020-02-29 17:40:56,@imanahmadian
2020-02-29 17:40:53,👏🏼👏🏼👏🏼
2020-02-29 17:40:38,"I struggle to be impressed by a profoundly liberal, anti-gun actor waving a gun around to make a buck off of people that he’d deprive of the right of self-defense."
2020-02-29 17:37:20,Segura o pai @albuquerquekaio @jorgee_aragao
2020-02-29 17:35:24,😍😍😍😍😍😍
